app_id,id,unix_time,thumbs_up,minutes_played,useful_score,text,dt,len,hours_played
730,193443029,1745450267,0,105680,0.5,"Honestly, with this game... I've never considered uninstalling and reinstalling so many times. You will have good days where the MM is on your side and other days where Valve is making you regret ever knowing about this game. If you feel like dedicating 1,000 + hours to this game until you have some sort of knowledge towards peeking, game sense, or even the recoil control be my guest. Also this game made my friend uninstall this game so for that... -Rep Valve",2025-04-23 23:17:47+00:00,463.0,1761.3333333333333
730,193442751,1745449918,0,2935,0.5,worst anticheat on the market,2025-04-23 23:11:58+00:00,29.0,48.916666666666664
730,193442663,1745449805,0,23897,0.5,good game for cheaters and people who like to say the n word,2025-04-23 23:10:05+00:00,60.0,398.28333333333336
730,193442629,1745449747,1,103233,0.5238095521926879,This game has saved me from the demons inside my head.,2025-04-23 23:09:07+00:00,54.0,1720.55
730,193442501,1745449565,0,47355,0.5,"Honestly the game is fine, i love shooting people. The thing that ruins it is that VAC is SO DAMN BAD i swear its like the myth of CS. Nuke is RIDDLED with hackers, out of the games ive played over half the times someone was blatanly hacking. check their profile to confirm and oh guess what? PAGES AND PAGES of people calling them a hacker and yet they are still in my game??? this wont ever be fixed either, valve make so much damn money they don't need to care. The ONLY way this will ever be fixed is if the player count significantly drops. It's been a problem since CSGO and here we are 10+ years later still with the same problem ... nice",2025-04-23 23:06:05+00:00,645.0,789.25
730,193442136,1745449058,1,5726,0.5,i can make russians scream all day 10/10,2025-04-23 22:57:38+00:00,40.0,95.43333333333334
730,193441820,1745448633,1,32367,0.5,sometimes maybe good sometimes maybe shit,2025-04-23 22:50:33+00:00,41.0,539.45
730,193441760,1745448564,1,21734,0.5,autistic game with autistic people,2025-04-23 22:49:24+00:00,34.0,362.23333333333335
730,193441628,1745448415,1,62799,0.5,game makes me want someones grandpa doing tricks on it.,2025-04-23 22:46:55+00:00,55.0,1046.65
730,193441497,1745448262,1,5210,0.5,epa mnou qsno,2025-04-23 22:44:22+00:00,13.0,86.83333333333333
730,193441445,1745448204,1,3434,0.5,i get killed alot,2025-04-23 22:43:24+00:00,17.0,57.233333333333334
730,193441042,1745447677,1,2278,0.5,amazing game,2025-04-23 22:34:37+00:00,12.0,37.96666666666667
730,193441019,1745447645,1,116294,0.5,rebibe me,2025-04-23 22:34:05+00:00,9.0,1938.2333333333333
730,193440904,1745447489,0,14893,0.5,CHEATERS,2025-04-23 22:31:29+00:00,8.0,248.21666666666667
730,193440639,1745447120,1,2056,0.5,Very good game. tho russians are annoying,2025-04-23 22:25:20+00:00,41.0,34.266666666666666
730,193440534,1745447005,0,2783,0.5,Cheater hell,2025-04-23 22:23:25+00:00,12.0,46.38333333333333
730,193440004,1745446324,0,717,0.5,VERY GUD VERY NICE,2025-04-23 22:12:04+00:00,18.0,11.95
730,193439871,1745446136,1,576,0.5238095521926879,Great so far! Having so much fun on Casual matches. Although competitive matches get a bit toxic. But as long as every one has fun it's all great!,2025-04-23 22:08:56+00:00,146.0,9.6
730,193439769,1745445986,1,1738,0.5,Good job VAC,2025-04-23 22:06:26+00:00,12.0,28.966666666666665
730,193439580,1745445777,1,10890,0.5,Worst game I've ever played. 10/10.,2025-04-23 22:02:57+00:00,35.0,181.5
730,193439407,1745445524,0,13140,0.5238095521926879,Love playing for weekly rewards and getting destroyed for like 2 hours by SWEATS just for a 0.20$ crate.,2025-04-23 21:58:44+00:00,104.0,219.0
